x,y
4.250819672131148,2.268852459016393
4.263114754098361,2.2685792349726777
4.275409836065574,2.2683060109289617
4.287704918032787,2.2680327868852457
4.300000000000001,2.26775956284153
4.312295081967213,2.2674863387978146
4.324590163934427,2.2672131147540986
4.327868852459017,2.257049180327869
4.331147540983607,2.2468852459016393
4.334426229508197,2.23672131147541
4.337704918032787,2.2265573770491804
4.340983606557377,2.216393442622951
4.336065573770492,2.2065573770491804
4.331147540983607,2.19672131147541
4.331693989071038,2.1874316939890712
4.33224043715847,2.178142076502732
4.332786885245901,2.168852459016393
4.343852459016393,2.167213114754098
4.354918032786885,2.165573770491803
4.365983606557377,2.1639344262295084
4.377049180327869,2.1622950819672133
4.381639344262295,2.1704918032786886
4.386229508196721,2.178688524590164
4.390819672131148,2.1868852459016392
4.395409836065574,2.1950819672131145
4.4,2.20327868852459
4.400504413619168,2.2143757881462798
4.401008827238336,2.2254728877679693
4.401513240857503,2.236569987389659
4.402017654476671,2.247667087011349
4.402522068095839,2.2587641866330386
4.403026481715006,2.2698612862547285
4.403530895334174,2.2809583858764184
4.4040353089533415,2.2920554854981083
4.404539722572509,2.303152585119798
4.405044136191677,2.3142496847414877
4.405548549810844,2.3253467843631777
4.406052963430012,2.336443883984867
4.40655737704918,2.347540983606557
4.403073770491803,2.3571721311475407
4.399590163934426,2.3668032786885242
4.396106557377049,2.376434426229508
4.392622950819671,2.3860655737704914
4.389139344262294,2.395696721311475
4.3856557377049175,2.4053278688524586
4.382172131147541,2.4149590163934422
4.378688524590164,2.424590163934426
4.371243169398907,2.4321038251366116
4.36379781420765,2.4396174863387974
4.356352459016393,2.447131147540983
4.348907103825137,2.454644808743169
4.34146174863388,2.4621584699453547
4.334016393442623,2.469672131147541
4.326571038251366,2.4771857923497267
4.3191256830601095,2.4846994535519125
4.311680327868852,2.4922131147540982
4.3042349726775955,2.499726775956284
4.296789617486339,2.50724043715847
4.2893442622950815,2.5147540983606556
4.281898907103825,2.5222677595628413
4.274453551912568,2.529781420765027
4.267008196721312,2.537295081967213
4.259562841530054,2.5448087431693986
4.252117486338798,2.5523224043715844
4.244672131147541,2.55983606557377
4.237226775956284,2.5673497267759564
4.229781420765027,2.574863387978142
4.222336065573771,2.582377049180328
4.214890710382514,2.5898907103825137
4.207445355191257,2.5974043715846995
4.2,2.6049180327868853
4.193237704918033,2.613422131147541
